NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,RESIDENT TUITION,RESIDENT TUITION (2014$),NONRESIDENT TUITION,NONRESIDENT TUITION (2014$),PERCENT PAYING FULL TUITION
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,1996-1997,"$3,578","$5,400","$7,712","$11,640",N/A
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,1997-1998,"$3,758","$5,542","$8,382","$12,362",N/A
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,1998-1999,"$4,490","$6,521","$9,484","$13,774",N/A
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,1999-2000,"$4,812","$6,839","$10,156","$14,434",N/A
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2000-2001,"$5,112","$7,028","$10,798","$14,845",N/A
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2001-2002,"$5,764","$7,706","$11,972","$16,006",68.3%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2002-2003,"$6,144","$8,086","$12,850","$16,912",70.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2003-2004,"$7,252","$9,333","$14,982","$19,280",65.5%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2004-2005,"$8,130","$10,190","$16,802","$21,059",62.7%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2005-2006,"$8,660","$10,498","$18,028","$21,854",61.8%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2006-2007,"$9,736","$11,433","$19,902","$23,372",53.4%
THE UNIVERSITY OF ALABAMA SCHOOL OF LAW,1872,1926,PUBLIC,2007-2008,"$11,190","$12,776","$22,170","$25,313",54.7%
