NAME,FOUNDED,ACCREDITED,PUB/PRIV,ACADEMIC YEAR,TUITION,TUITION (2014$),PERCENT PAYING FULL TUITION,PERCENT RECEIVING MEDIAN GRANT OR MORE,TUITION LESS MEDIAN GRANT (2014$)
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,1996-1997,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,1997-1998,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,1998-1999,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,1999-2000,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2000-2001,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2001-2002,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2002-2003,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2003-2004,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2004-2005,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2005-2006,N/A,N/A,N/A,N/A,N/A
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2006-2007,"$15,000","$17,615",67.0%,16.5%,"$8,807"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2007-2008,"$22,075","$25,204",64.5%,17.8%,"$15,357"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2008-2009,"$28,135","$30,936",69.6%,15.2%,"$15,542"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2009-2010,"$30,870","$34,064",52.0%,24.0%,"$16,960"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2010-2011,"$31,020","$33,677",67.7%,16.1%,"$16,850"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2011-2012,"$32,187","$33,875",69.8%,15.1%,"$16,510"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2012-2013,"$33,360","$34,398",55.1%,22.5%,"$23,169"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2013-2014,"$34,000","$34,552",37.2%,31.4%,"$23,150"
"FAULKNER UNIVERSITY, THOMAS GOODE JONES SCHOOL OF LAW",1928,2006,PRIVATE,2014-2015,"$34,000","$34,000",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,1996-1997,"$16,480","$24,874",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,1997-1998,"$17,700","$26,105",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,1998-1999,"$18,350","$26,650",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,1999-2000,"$18,976","$26,969",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2000-2001,"$19,550","$26,877",N/A,N/A,N/A
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2001-2002,"$20,528","$27,446",66.6%,16.7%,"$14,076"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2002-2003,"$21,350","$28,099",63.4%,18.3%,"$18,886"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2003-2004,"$22,844","$29,398",65.0%,17.5%,"$19,746"
"SAMFORD UNIVERSITY, CUMBERLAND SCHOOL OF LAW",1847,1949,PRIVATE,2004-2005,"$23,758","$29,777",69.5%,15.2%,"$10,977"
